tweets,polarity-value,polarity,subjectivity-value,subjectivity
"RT @meakoopa: what if we got @JordanPeele dressed up and told Trump he was meeting his hero, Frederick Douglass",0.0,Neutral,0.0,Neutral
"RT @LivingBlueinRed: Without the Press you wouldn't know about Trump's tax evasion, bankruptcies, Russian ties, infidelities, corruption, d…",0.0,Neutral,0.0,Neutral
RT @IngrahamAngle: Trump endorses use of ‘nuclear option’ to confirm Gorsuch https://t.co/ykpWhDGC9A,0.0,Neutral,0.0,Neutral
"Time: @TIME https://t.co/rRSIE9TqE1
@jokeronparade @BreitbartNews",0.0,Neutral,0.0,Neutral
"No Mr Trump, #FrederickDouglas was not the name of the dad on My Three Sons",0.0,Neutral,0.0,Neutral
"RT @ezlusztig: From Peña Nieto's aides, to Mexican journalists, to Forbes: When you piss people off, everyone leaks.https://t.co/Rw9J8QhxYe…",0.0,Neutral,0.0,Neutral
"RT @funder: Michael Flynn Could Lead Trump Into War With Iran 

#trumpleaks #resist #trumprussia #muslimban #resistance #trump https://t.co…",0.0,Neutral,0.0,Neutral
"RT @RepMarkTakano: Jerry Falwell Jr. checks all the boxes for an education post in the Trump admin: 
- Bigoted
- Unqualified 
- Opposed to…",0.0,Neutral,0.0,Neutral
RT @livfatale: So Thorin the grumpy bitch dwarf is trump now and wants a wall? Also bilbo doesn't kill the dragon? Also life is meaningless,-0.15,Negative,0.55,Positive
"RT @rj4gui4r: Bey: ""This Trump mess has been getting a lot of people down.""
Jay: ""Yeah, I wonder if we can help cheer them up.""
Bey: ""I hav…",-0.165277777778,Negative,0.231944444444,Positive
"RT @ddale8: ""I don't watch CNN"" is maybe Trump's funniest repeated lie. It's like someone saying ""I don't eat cake"" with icing all over the…",0.0,Neutral,0.0,Neutral
RT @LuisGyG: Apple tampoco está feliz con el decreto antimigrantes de Trump https://t.co/kg7BZczodr https://t.co/Yt5WoAgMTp,0.0,Neutral,0.0,Neutral
"RT @funder: Docs:Trump Dubai business partner signed $300 million deal directly with Putin 

#TrumpLeaks #theresistance #resist #trumprussi…",0.1,Neutral,0.4,Positive
RT @TheDailyShow: Trump insists his Muslim ban is going well despite what our eyes and ears tell us. https://t.co/tUiignKGVl,0.0,Neutral,0.0,Neutral
"RT @RepBarbaraLee: President Trump: if you truly want to honor #BlackHistoryMonth, you should start by apologizing to civil rights hero @re…",0.0,Neutral,0.0,Neutral
